Model,Dataset,Loss,MSE,MAE,MAPE,Avg. hourly available bike number deviation,Parameters,Training_Time_in_sec
avg_last_24_hours,Train,0.02489028498530388,100.15321382308271,7.412385393276404,1.2988823374788866e+17,7.4,0.0,0.0
avg_last_24_hours,Test,0.028102833777666092,113.07984228547228,8.53085265419004,9.953978271474027e+16,8.5,0.0,
last_day,Train,0.0418907105922699,168.5593389382956,9.068685980396987,1.0936054008570765e+17,9.1,0.0,0.0
last_day,Test,0.045913536101579666,184.74631537556456,10.71848502642883,1.0464626614051014e+17,10.7,0.0,
no-change,Train,0.0771237388253212,310.329538474512,12.34739883329091,94.29577464788733,12.3,0.0,0.0
no-change,Test,0.12398383766412735,498.88464371827223,18.644956050995827,97.45762711864407,18.6,0.0,
MLP,Train,0.03976951912045479,160.02410899940128,10.715396053293098,3.54892124587233e+17,10.7,301.0,9.0
MLP,Test,0.043387506157159805,174.58210593348537,11.212732083110962,1.5817539765030496e+17,11.2,301.0,
CNN,Train,0.0020776046440005302,8.359840819728047,2.0593368680844715,2.4545873565018964e+16,2.1,1115.0,22.0
CNN,Test,0.0027818907983601093,11.193737209999657,2.365881065357727,7570908634056788.0,2.4,1115.0,
LSTM,Train,0.002411826979368925,9.704678698073128,2.2128419679266447,2.6627613105980096e+16,2.2,43.0,56.0
LSTM,Test,0.002716168761253357,10.929286680540537,2.338915563556961,7892557574074633.0,2.3,43.0,
GRU,Train,0.002424066886305809,9.753930130064534,2.232711450680899,2.845608048123675e+16,2.2,33.0,202.0
GRU,Test,0.0026897634379565716,10.823036608858061,2.3341027152109763,9619086553588832.0,2.3,33.0,
