Model,Dataset,Loss,MSE,MAE,MAPE,Avg. hourly available bike number deviation,Parameters,Training_Time_in_sec
avg_last_24_hours,Train,0.03137260302901268,126.23669427136171,8.339001752591912,1.515383409792187e+17,8.3,0.0,0.0
avg_last_24_hours,Test,0.034895364195108414,140.41153459354166,9.541385056353572,1.2172713110213373e+17,9.5,0.0,
last_day,Train,0.05760398507118225,231.7862472309859,11.056158776667163,2.087244405547721e+17,11.1,0.0,0.0
last_day,Test,0.06557684391736984,263.86729456169036,13.15038399567972,1.8449373302202566e+17,13.2,0.0,
no-change,Train,0.07729346305131912,311.01249916751465,12.361440766837703,94.27966101694916,12.4,0.0,0.0
no-change,Test,0.12398383766412735,498.88464371827223,18.644956050995827,97.45762711864407,18.6,0.0,
MLP,Train,0.03977501392364502,160.04621663578206,10.703448375390312,3.5339220045178195e+17,10.7,301.0,8.0
MLP,Test,0.04362305998802185,175.52994024577214,11.234484576461734,1.5706320020079213e+17,11.2,301.0,
CNN,Train,0.012324010953307152,49.589201033025844,5.4088562185487055,9.603101101512859e+16,5.4,1115.0,19.0
CNN,Test,0.02293897047638893,92.30155212915552,7.321917604714376,5.0643756369149816e+16,7.3,1115.0,
LSTM,Train,0.020315689966082573,81.7460332044486,6.891222225337232,1.5447474893745392e+17,6.9,43.0,56.0
LSTM,Test,0.027607224881649017,111.08562404618807,8.110953672780042,8.440206500509093e+16,8.1,43.0,
GRU,Train,0.020435292273759842,82.22727438232847,6.909333367439508,1.586368164612997e+17,6.9,33.0,197.0
GRU,Test,0.027862034738063812,112.11092010898342,8.102418094251181,7.438462997885358e+16,8.1,33.0,
