Model,Dataset,Loss,MSE,MAE,MAPE,Avg. hourly available bike number deviation,Parameters,Training_Time_in_sec
avg_last_24_hours,Train,0.008987369015812874,8.088631889687596,2.1189459067764798,2.235061890978823e+16,2.1,0.0,0.0
avg_last_24_hours,Test,0.006045711226761341,5.441140883694966,1.7877566127718643,2.2544913484716336e+16,1.8,0.0,
last_day,Train,0.02172328345477581,19.55095506556826,3.306315459138132,3.2705956661040844e+16,3.3,0.0,0.0
last_day,Test,0.01885710097849369,16.97139082482916,2.845840839004296,2.481143179678761e+16,2.8,0.0,
no-change,Train,0.14476294815540314,130.28665002718205,9.773940498588395,98.53454291695743,9.8,0.0,0.0
no-change,Test,0.07229483872652054,65.06536035281523,7.061088695300673,98.53249475890985,7.1,0.0,
MLP,Train,0.0010169114684686065,0.9152203071426919,0.5721472463663473,6391437904533719.0,0.6,157.0,9.0
MLP,Test,0.000897711724974215,0.8079405515118612,0.5417842782064453,4587192105668448.0,0.5,157.0,
CNN,Train,0.0010381289757788181,0.9343160999709258,0.5633742211708918,5332452514233626.0,0.6,275.0,21.0
CNN,Test,0.0008849339792504907,0.7964405438920249,0.528547630722945,3105954074649779.5,0.5,275.0,
LSTM,Train,0.0010258278343826532,0.9232451151158544,0.5579116648785765,5181914102516044.0,0.6,43.0,35.0
LSTM,Test,0.0009139808244071901,0.8225826865083199,0.5374896302365305,3030822852440576.0,0.5,43.0,
GRU,Train,0.0010128364665433764,0.9115528439295293,0.5513310762556414,4960313374778609.0,0.6,33.0,102.0
GRU,Test,0.0008949920302256942,0.8054928524911421,0.5181122518293911,2858703810740348.0,0.5,33.0,
