Model,Dataset,Loss,MSE,MAE,MAPE,Avg. hourly available bike number deviation,Parameters,Training_Time_in_sec
avg_last_24_hours,Train,0.009072762914001942,8.165486250494984,2.1299581673590913,2.2571132415593044e+16,2.1,0.0,0.0
avg_last_24_hours,Test,0.005934026092290878,5.340624004446368,1.76866452799374,2.278373672078325e+16,1.8,0.0,
last_day,Train,0.022076191380620003,19.86857210919038,3.339497805070959,3.3028636994553576e+16,3.3,0.0,0.0
last_day,Test,0.013759888708591461,12.383901215729859,2.651291490582773,2.5074264760736628e+16,2.7,0.0,
no-change,Train,0.1473919004201889,132.65270070850005,9.893621279007458,98.5200845665962,9.9,0.0,0.0
no-change,Test,0.07275117933750153,65.47606542198059,7.081629528481043,98.51694915254238,7.1,0.0,
MLP,Train,0.07500062137842178,67.50055657216942,6.841633616352009,1.0407164028040414e+17,6.8,301.0,8.0
MLP,Test,0.09793462604284286,88.14115726391877,8.536409921921944,1.0429213104371022e+17,8.5,301.0,
CNN,Train,0.0009717129869386554,0.8745417477316872,0.5650855144525211,5699424191087506.0,0.6,1115.0,23.0
CNN,Test,0.000944190367590636,0.8497713283117152,0.5639219723056836,2262644200326529.5,0.6,1115.0,
LSTM,Train,0.0010355743579566479,0.9320170029837814,0.558576048824377,5074557490563531.0,0.6,43.0,57.0
LSTM,Test,0.0009144694777205586,0.8230224828656356,0.5330368599600861,2914718531861717.0,0.5,43.0,
GRU,Train,0.0010097888298332691,0.9088099054212866,0.5490927279771288,5144147396222660.0,0.5,33.0,199.0
GRU,Test,0.0009284944972023368,0.8356450517563787,0.5306841555161015,3355076091765174.0,0.5,33.0,
