Model,Dataset,Loss,MSE,MAE,MAPE,Avg. hourly available bike number deviation,Parameters,Training_Time_in_sec
avg_last_24_hours,Train,0.021677032113075256,13.404017130554195,2.7354120503982493,8.797396158244288e+16,2.7,0.0,0.0
avg_last_24_hours,Test,0.023371458053588867,14.451767980197143,3.0004418333551315,1.928099569535658e+16,3.0,0.0,
last_day,Train,0.04682128131389618,28.951990813595003,3.848432786132978,6.824970111362353e+16,3.8,0.0,0.0
last_day,Test,0.051893915981054306,32.08865732100748,4.558902688850823,2.2443225814671936e+16,4.6,0.0,
no-change,Train,0.12070462107658386,74.63782852072738,6.330121483453334,89.99295278365047,6.3,0.0,0.0
no-change,Test,0.15834666788578033,97.91383140773522,8.69713306347705,98.30866807610994,8.7,0.0,
MLP,Train,0.056041616946458817,34.6533970059702,4.946036235856577,2.985011838927481e+17,4.9,301.0,8.0
MLP,Test,0.0429757758975029,26.574117769062866,4.0152489763770545,5.0450904319901064e+16,4.0,301.0,
CNN,Train,0.003993225749582052,2.469215481577083,1.0106953020291018,2.339042720570088e+16,1.0,1115.0,21.0
CNN,Test,0.003446883987635374,2.1313845622011933,1.0053579111590751,3799073167970060.0,1.0,1115.0,
LSTM,Train,0.00440380722284317,2.723099102502277,1.0379774889069375,2.5806650188946964e+16,1.0,43.0,56.0
LSTM,Test,0.0033967855852097273,2.1004061457517453,0.980111561463706,3468560001868793.5,1.0,43.0,
GRU,Train,0.004388517700135708,2.7136446188060868,1.0330766836888443,2.584547885114757e+16,1.0,33.0,210.0
GRU,Test,0.0033828457817435265,2.0917865080232643,0.9758240210960886,3226683594813848.0,1.0,33.0,
