Model,Dataset,Loss,MSE,MAE,MAPE,Avg. hourly available bike number deviation,Parameters,Training_Time_in_sec
avg_last_24_hours,Train,0.012419822625815868,11.177839705226752,2.515917097621886,2.6990788746472024e+16,2.5,0.0,0.0
avg_last_24_hours,Test,0.00783209316432476,7.048883494135003,2.0739383110257497,2.6824717289198136e+16,2.1,0.0,
last_day,Train,0.024738196283578873,22.264376350128018,3.5700041019596322,3.726011444314339e+16,3.6,0.0,0.0
last_day,Test,0.019916385412216187,17.924746151710792,3.116732314184522,3.43108634525384e+16,3.1,0.0,
no-change,Train,0.14771778881549835,132.9460107950475,9.905412707194534,98.5179957657022,9.9,0.0,0.0
no-change,Test,0.07282071560621262,65.53864729957952,7.08392598164256,98.51380042462846,7.1,0.0,
MLP,Train,0.04668055474758148,42.01249987711865,5.5205187901306365,8.400110231962488e+16,5.5,301.0,9.0
MLP,Test,0.05069516599178314,45.62564418321487,5.786034386037036,8.423889737219291e+16,5.8,301.0,
CNN,Train,0.006501576863229275,5.851419232388785,1.6319461824601134,2.3938874391801356e+16,1.6,1115.0,22.0
CNN,Test,0.00681912200525403,6.13720998068977,1.7792276126721127,2.012779017407762e+16,1.8,1115.0,
LSTM,Train,0.006761263590306044,6.085136967729039,1.6459239806339734,2.3526396129121056e+16,1.6,43.0,69.0
LSTM,Test,0.006276964209973812,5.649267473915887,1.6436159354263833,2.1772049242751256e+16,1.6,43.0,
GRU,Train,0.006978224031627178,6.280401500965894,1.6240619481544503,2.378379210595333e+16,1.6,33.0,195.0
GRU,Test,0.006558934226632118,5.903040627484495,1.6786234711732857,2.312172818238947e+16,1.7,33.0,
