Model,Dataset,Loss,MSE,MAE,MAPE,Avg. hourly available bike number deviation,Parameters,Training_Time_in_sec
avg_last_24_hours,Train,0.028178390115499496,17.42413937532556,3.0824689670621734,9.889915215111819e+16,3.1,0.0,0.0
avg_last_24_hours,Test,0.03038960136473179,18.791444933306966,3.4746971093740386,2.4151265185531956e+16,3.5,0.0,
last_day,Train,0.05424828082323074,33.54448791064002,4.233412836416933,1.1241248929143883e+17,4.2,0.0,0.0
last_day,Test,0.05046859756112099,31.207314931647133,4.534437467403826,4.003559049268121e+16,4.5,0.0,
no-change,Train,0.12081737071275711,74.70755057822777,6.330182538099116,89.90825688073394,6.3,0.0,0.0
no-change,Test,0.15865060687065125,98.10178208589565,8.709132639104949,98.30508474576271,8.7,0.0,
MLP,Train,0.05617092549800873,34.73335369965789,4.956072606886889,3.0185763733746963e+17,5.0,301.0,8.0
MLP,Test,0.042899999767541885,26.527261235714064,4.0098040899557805,5.069719949119287e+16,4.0,301.0,
CNN,Train,0.019191715866327286,11.867218884821316,2.571499148561421,1.1536026873295563e+17,2.6,1115.0,21.0
CNN,Test,0.0210379920899868,13.008867167571676,2.7620378498062963,2.257557047203718e+16,2.8,1115.0,
LSTM,Train,0.01886320672929287,11.664084965838855,2.5831788363994757,1.1777353933693614e+17,2.6,43.0,59.0
LSTM,Test,0.016849573701620102,10.418952759966125,2.4243577063221773,1.8655293185505616e+16,2.4,43.0,
GRU,Train,0.017948294058442116,11.098347209682144,2.520856028089146,1.0865512949897003e+17,2.5,33.0,207.0
GRU,Test,0.018029481172561646,11.148550039531571,2.533736118599694,1.826768300502883e+16,2.5,33.0,
