Model,Dataset,Loss,MSE,MAE,MAPE,Avg. hourly available bike number deviation,Parameters,Training_Time_in_sec
avg_last_24_hours,Train,0.028234990313649178,17.459136850775785,3.1013744088132738,1.0949511478811675e+17,3.1,0.0,0.0
avg_last_24_hours,Test,0.030083417892456055,18.602115284994472,3.446094690388359,2.3898107269541056e+16,3.4,0.0,
last_day,Train,0.0544913113117218,33.69476132738858,4.264133250451421,1.232204859242297e+17,4.3,0.0,0.0
last_day,Test,0.049982547760009766,30.90676364656441,4.501616669746518,3.961593021498016e+16,4.5,0.0,
no-change,Train,0.11984210461378098,74.10450184575757,6.297022295963034,89.72746331236897,6.3,0.0,0.0
no-change,Test,0.15706628561019897,97.12210407932893,8.639819579273018,98.32285115303984,8.6,0.0,
MLP,Train,0.031928740441799164,19.743172565536177,3.581375349371245,1.963870691930401e+17,3.6,157.0,8.0
MLP,Test,0.030699027702212334,18.982779614567942,3.478304198082435,3.5116051182472464e+16,3.5,157.0,
CNN,Train,0.0557980015873909,34.5027555310847,4.919957252303316,3.017430503505566e+17,4.9,275.0,19.0
CNN,Test,0.04359913617372513,26.95957257498715,4.055761538967777,4.926417148580514e+16,4.1,275.0,
LSTM,Train,0.018498331308364868,11.438464249239589,2.542658678216012,1.0691814178190094e+17,2.5,43.0,32.0
LSTM,Test,0.016710329800844193,10.332851314385966,2.4397478913674866,2.2322534357169916e+16,2.4,43.0,
GRU,Train,0.019908428192138672,12.310398604511395,2.6519663209123774,1.2633651250294698e+17,2.7,33.0,97.0
GRU,Test,0.017743144184350967,10.971493617417982,2.4591597773432787,2.067062641572095e+16,2.5,33.0,
