"entity_id","anzahl"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24456","147644"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24457","147723"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24458","148078"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24459","147461"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24460","147500"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24461","147787"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24462","147934"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24463","147481"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24464","147754"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24465","147995"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24466","147934"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24467","147551"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24468","147978"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24469","148115"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24470","147807"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24471","147898"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24472","149146"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24473","147670"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24474","148355"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24475","147882"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24476","147869"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24477","11610"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24478","148131"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24479","147462"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24481","148041"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:24482","147795"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:26209","147979"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:26224","147951"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:26653","147703"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:26708","147721"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:26724","147397"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:26725","148164"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:26730","148091"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:26805","147529"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:26889","148083"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27183","148491"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27209","1400"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27372","147542"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27373","147741"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27374","148063"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27375","147593"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27376","148154"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27377","147450"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27378","148797"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27379","147525"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27380","148613"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27381","148036"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27382","148065"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27440","147537"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27441","147538"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27442","148748"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27443","148131"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27444","147479"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27445","148673"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27446","147519"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27447","148590"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27448","148551"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27449","147652"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27450","148656"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27451","147505"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27452","148052"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27567","147935"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:27717","147620"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28264","147463"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28538","80"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28569","188"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28738","148009"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28789","147837"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28790","148704"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28791","147726"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28792","147895"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28793","148245"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28794","148343"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28795","147494"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28796","148083"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28797","119578"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28798","147620"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28799","148229"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28800","147618"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28801","147437"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28802","147531"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28803","148220"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28804","148620"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28813","148753"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28814","148758"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:28932","147577"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29049","85974"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29109","148102"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29112","147940"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29147","140400"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29200","148394"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29224","1189"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29253","147573"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29287","18491"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29345","148730"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29346","148089"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29347","147613"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29663","147687"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29735","7417"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29745","1846"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29925","33063"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29933","25697"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29934","17840"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29935","16962"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29936","17270"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29937","18595"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29938","35542"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29939","24026"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29940","4477"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29941","5221"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29942","31118"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29946","148337"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29963","143479"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29964","142563"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29965","142508"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:29982","116197"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30011","132638"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30022","125492"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30023","116741"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30024","125553"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30025","125381"
"urn:ngsi-ld:BikeHireDockingStation:KielRegion:30026","125470"
