"entity_id","entity_type","time_index","dateobserved","x","y","name","temperature","temperaturemax","temperaturemin","feellikestemperature","atmosphericpressure","relativehumidity","winddirection","windspeed","cloudcover","weathertype","visibility"
"urn:ngsi-ld:WeatherObserved:OWM:5465941","WeatherObserved","2024-10-08 09:56:38.350251+00","2024-10-08 09:56:37+00","9.4101","54.6545","Keelbek","13.5","14.34","12.84","13.44","998","0.97","160","4.03","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5430967","WeatherObserved","2024-10-08 09:56:38.245291+00","2024-10-08 09:56:37+00","9.671","54.3024","Rendsburg","14.16","15.1","12.83","14.14","999","0.96","200","2.24","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:54331021","WeatherObserved","2024-10-08 09:56:38.144521+00","2024-10-08 09:56:37+00","10.208","54.3262","Schönkirchen","13.65","15.06","13.06","13.53","999","0.94","170","3.09","75","Überwiegend bewölkt","9000"
"urn:ngsi-ld:WeatherObserved:OWM:54351009","WeatherObserved","2024-10-08 09:56:38.044108+00","2024-10-08 09:56:37+00","10.0893","54.346","Kronshagen","13.33","15.06","13.06","13.17","999","0.94","170","3.09","75","Überwiegend bewölkt","9000"
"urn:ngsi-ld:WeatherObserved:OWM:5465941","WeatherObserved","2024-10-08 09:41:38.645149+00","2024-10-08 09:41:37+00","9.4101","54.6545","Keelbek","13.29","13.96","12.84","13.21","998","0.97","160","4.03","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5430967","WeatherObserved","2024-10-08 09:41:38.546951+00","2024-10-08 09:41:37+00","9.671","54.3024","Rendsburg","13.71","14.54","12.83","13.64","999","0.96","189","0.45","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5433971","WeatherObserved","2024-10-08 09:41:38.444593+00","2024-10-08 09:41:37+00","9.7092","54.3317","Borgstedt","13.61","14.51","12.79","13.51","999","0.95","150","4.12","75","Leichtes Nieseln","7000"
"urn:ngsi-ld:WeatherObserved:OWM:5423951","WeatherObserved","2024-10-08 09:41:38.345433+00","2024-10-08 09:41:37+00","9.514","54.226","Hamdorf","13.7","14.52","12.8","13.61","998","0.95","172","4.58","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:54351009","WeatherObserved","2024-10-08 09:41:38.249184+00","2024-10-08 09:41:37+00","10.0893","54.346","Kronshagen","13.01","14.54","12.78","12.9","999","0.97","170","3.09","75","Überwiegend bewölkt","9000"
"urn:ngsi-ld:WeatherObserved:OWM:54331015","WeatherObserved","2024-10-08 09:41:38.076164+00","2024-10-08 09:38:35+00","10.1521","54.3338","Düsternbrook","13.24","14.63","12.88","13.15","999","0.97","170","3.09","75","Überwiegend bewölkt","9000"
"urn:ngsi-ld:WeatherObserved:OWM:54331021","WeatherObserved","2024-10-08 09:41:38.044788+00","2024-10-08 09:33:12+00","10.208","54.3262","Schönkirchen","13.46","14.47","12.99","13.32","999","0.94","170","3.09","75","Überwiegend bewölkt","9000"
"urn:ngsi-ld:WeatherObserved:OWM:5433971","WeatherObserved","2024-10-08 09:26:38.645566+00","2024-10-08 09:26:37+00","9.7092","54.3317","Borgstedt","13.5","14.51","12.23","13.41","998","0.96","192","0.45","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5465941","WeatherObserved","2024-10-08 09:26:38.544198+00","2024-10-08 09:26:37+00","9.4101","54.6545","Keelbek","13.22","13.79","12.86","13.16","998","0.98","159","3.93","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:5423951","WeatherObserved","2024-10-08 09:26:38.452192+00","2024-10-08 09:26:37+00","9.514","54.226","Hamdorf","13.65","14.92","13.08","13.55","998","0.95","169","4.55","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:54331015","WeatherObserved","2024-10-08 09:26:38.344754+00","2024-10-08 09:26:37+00","10.1521","54.3338","Düsternbrook","13.47","14.63","13.16","13.33","999","0.94","160","3.6","100","Leichter Regen","9000"
"urn:ngsi-ld:WeatherObserved:OWM:54351009","WeatherObserved","2024-10-08 09:26:38.244987+00","2024-10-08 09:26:37+00","10.0893","54.346","Kronshagen","13.23","14.54","13.06","13.06","999","0.94","160","3.6","100","Leichter Regen","9000"
"urn:ngsi-ld:WeatherObserved:OWM:5430967","WeatherObserved","2024-10-08 09:26:38.14474+00","2024-10-08 09:26:37+00","9.671","54.3024","Rendsburg","13.62","14.54","12.27","13.54","998","0.96","192","0.45","100","Bedeckt","10000"
"urn:ngsi-ld:WeatherObserved:OWM:54331021","WeatherObserved","2024-10-08 09:26:38.043111+00","2024-10-08 09:18:11+00","10.208","54.3262","Schönkirchen","13.42","14.47","12.95","13.27","999","0.94","160","3.6","100","Leichter Regen","9000"
"urn:ngsi-ld:WeatherObserved:OWM:54331015","WeatherObserved","2024-10-08 09:11:38.643404+00","2024-10-08 09:11:37+00","10.1521","54.3338","Düsternbrook","13.28","14.05","13.12","13.12","999","0.94","160","3.6","100","Leichter Regen","9000"
