entityId,Place,latitude,longitude,wthr_statn_ID
5423951,Hamdorf,54.226,9.514,1
5430967,Rendsburg,54.3024,9.671,2
54331015,Düsternbrook,54.3338,10.1521,3
54331021,Schönkirchen,54.3262,10.208,4
5433971,Borgstedt,54.3317,9.7092,5
54351009,Kronshagen,54.346,10.0893,6
5465941,Keelbek,54.6545,9.4101,7
