"entity_id","x","y","count"
"urn:ngsi-ld:WeatherObserved:OWM:5423951","9.514","54.226","13348"
"urn:ngsi-ld:WeatherObserved:OWM:5430967","9.671","54.3024","13348"
"urn:ngsi-ld:WeatherObserved:OWM:54331015","10.1521","54.3338","13508"
"urn:ngsi-ld:WeatherObserved:OWM:54331021","10.208","54.3262","13493"
"urn:ngsi-ld:WeatherObserved:OWM:5433971","9.7092","54.3317","13482"
"urn:ngsi-ld:WeatherObserved:OWM:54351009","10.0893","54.346","13361"
"urn:ngsi-ld:WeatherObserved:OWM:5465941","9.4101","54.6545","13992"
